comparison_scope,reported_model,task_name,model_name,budget_profile,trial_budget,validation_repeats,selection_metric,tie_break_metric,seed,inner_val_ratio,candidate_idx,repeat_idx,repeat_train_size,repeat_val_size,config_json,val_r2,val_are,mean_val_r2,std_val_r2,mean_val_are,std_val_are,is_selected
inverse,inverse_MLP,inverse,inverse_MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,3,2,200,43,"{""alpha"": 0.001, ""hidden_layer_sizes"": [8]}",0.9827175235984431,3.7158918569457167,0.9688744676961377,0.020414963094123755,4.2972961233130595,0.6804712691091648,0
inverse,inverse_MLP,inverse,inverse_MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,3,3,200,43,"{""alpha"": 0.001, ""hidden_layer_sizes"": [8]}",0.9729940157012944,4.532024901270491,0.9688744676961377,0.020414963094123755,4.2972961233130595,0.6804712691091648,0
inverse,inverse_MLP,inverse,inverse_MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,3,4,200,43,"{""alpha"": 0.001, ""hidden_layer_sizes"": [8]}",0.9811867414511886,3.775373220022525,0.9688744676961377,0.020414963094123755,4.2972961233130595,0.6804712691091648,0
inverse,inverse_MLP,inverse,inverse_MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,4,0,200,43,"{""alpha"": 1e-06, ""hidden_layer_sizes"": [16]}",0.9987887691779157,0.9052277925375745,0.991728969843647,0.007602529817283536,2.148596913516171,1.2927928080407307,0
inverse,inverse_MLP,inverse,inverse_MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,4,1,200,43,"{""alpha"": 1e-06, ""hidden_layer_sizes"": [16]}",0.996409226155117,1.2377059469293896,0.991728969843647,0.007602529817283536,2.148596913516171,1.2927928080407307,0
inverse,inverse_MLP,inverse,inverse_MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,4,2,200,43,"{""alpha"": 1e-06, ""hidden_layer_sizes"": [16]}",0.9855082645459887,3.5252729817928943,0.991728969843647,0.007602529817283536,2.148596913516171,1.2927928080407307,0
inverse,inverse_MLP,inverse,inverse_MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,4,3,200,43,"{""alpha"": 1e-06, ""hidden_layer_sizes"": [16]}",0.9980058300620983,1.1620123114456762,0.991728969843647,0.007602529817283536,2.148596913516171,1.2927928080407307,0
inverse,inverse_MLP,inverse,inverse_MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,4,4,200,43,"{""alpha"": 1e-06, ""hidden_layer_sizes"": [16]}",0.9799327592771159,3.912765534875321,0.991728969843647,0.007602529817283536,2.148596913516171,1.2927928080407307,0
inverse,inverse_MLP,inverse,inverse_MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,5,0,200,43,"{""alpha"": 1e-05, ""hidden_layer_sizes"": [16]}",0.9988756049594525,0.7719516681308585,0.9919409432949078,0.00770129481744609,2.0880945109426263,1.3418981779957233,0
inverse,inverse_MLP,inverse,inverse_MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,5,1,200,43,"{""alpha"": 1e-05, ""hidden_layer_sizes"": [16]}",0.9964478043396539,1.2630842413617882,0.9919409432949078,0.00770129481744609,2.0880945109426263,1.3418981779957233,0
inverse,inverse_MLP,inverse,inverse_MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,5,2,200,43,"{""alpha"": 1e-05, ""hidden_layer_sizes"": [16]}",0.9856363154569191,3.5135939818008493,0.9919409432949078,0.00770129481744609,2.0880945109426263,1.3418981779957233,0
inverse,inverse_MLP,inverse,inverse_MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,5,3,200,43,"{""alpha"": 1e-05, ""hidden_layer_sizes"": [16]}",0.9987321487324351,0.9792156924957086,0.9919409432949078,0.00770129481744609,2.0880945109426263,1.3418981779957233,0
inverse,inverse_MLP,inverse,inverse_MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,5,4,200,43,"{""alpha"": 1e-05, ""hidden_layer_sizes"": [16]}",0.9800128429860777,3.9126269709239265,0.9919409432949078,0.00770129481744609,2.0880945109426263,1.3418981779957233,0
inverse,inverse_MLP,inverse,inverse_MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,6,0,200,43,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [16]}",0.9964990443831371,1.6116503036706546,0.9906426403455623,0.0074734840152076544,2.4143732970392895,1.1516147592290942,0
inverse,inverse_MLP,inverse,inverse_MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,6,1,200,43,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [16]}",0.9970672586133407,1.1006136034272684,0.9906426403455623,0.0074734840152076544,2.4143732970392895,1.1516147592290942,0
inverse,inverse_MLP,inverse,inverse_MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,6,2,200,43,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [16]}",0.9831048854076514,3.674746107086081,0.9906426403455623,0.0074734840152076544,2.4143732970392895,1.1516147592290942,0
inverse,inverse_MLP,inverse,inverse_MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,6,3,200,43,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [16]}",0.9965058286491795,1.768707519786331,0.9906426403455623,0.0074734840152076544,2.4143732970392895,1.1516147592290942,0
inverse,inverse_MLP,inverse,inverse_MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,6,4,200,43,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [16]}",0.9800361846745026,3.9161489512261114,0.9906426403455623,0.0074734840152076544,2.4143732970392895,1.1516147592290942,0
inverse,inverse_MLP,inverse,inverse_MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,7,0,200,43,"{""alpha"": 0.001, ""hidden_layer_sizes"": [16]}",0.9973954150647528,1.3751940708018475,0.9917027160279124,0.007374608479155325,2.173129446219528,1.2641006777657755,0
inverse,inverse_MLP,inverse,inverse_MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,7,1,200,43,"{""alpha"": 0.001, ""hidden_layer_sizes"": [16]}",0.9959045844042324,1.3737326914000767,0.9917027160279124,0.007374608479155325,2.173129446219528,1.2641006777657755,0
inverse,inverse_MLP,inverse,inverse_MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,7,2,200,43,"{""alpha"": 0.001, ""hidden_layer_sizes"": [16]}",0.9857590919318323,3.486179183989434,0.9917027160279124,0.007374608479155325,2.173129446219528,1.2641006777657755,0
inverse,inverse_MLP,inverse,inverse_MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,7,3,200,43,"{""alpha"": 0.001, ""hidden_layer_sizes"": [16]}",0.9991805529696797,0.7421354401438193,0.9917027160279124,0.007374608479155325,2.173129446219528,1.2641006777657755,0
inverse,inverse_MLP,inverse,inverse_MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,7,4,200,43,"{""alpha"": 0.001, ""hidden_layer_sizes"": [16]}",0.9802739357690649,3.8884058447624614,0.9917027160279124,0.007374608479155325,2.173129446219528,1.2641006777657755,0
inverse,inverse_MLP,inverse,inverse_MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,8,0,200,43,"{""alpha"": 1e-06, ""hidden_layer_sizes"": [32]}",0.9986559882909641,0.9253799192026522,0.9974610375024155,0.0016511975215529428,1.243805270753779,0.4378102461790387,0
inverse,inverse_MLP,inverse,inverse_MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,8,1,200,43,"{""alpha"": 1e-06, ""hidden_layer_sizes"": [32]}",0.9955106695066505,1.5797486285314675,0.9974610375024155,0.0016511975215529428,1.243805270753779,0.4378102461790387,0
inverse,inverse_MLP,inverse,inverse_MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,8,2,200,43,"{""alpha"": 1e-06, ""hidden_layer_sizes"": [32]}",0.9955000654623867,1.868770565150773,0.9974610375024155,0.0016511975215529428,1.243805270753779,0.4378102461790387,0
inverse,inverse_MLP,inverse,inverse_MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,8,3,200,43,"{""alpha"": 1e-06, ""hidden_layer_sizes"": [32]}",0.9981613465140569,1.1938221679207452,0.9974610375024155,0.0016511975215529428,1.243805270753779,0.4378102461790387,0
inverse,inverse_MLP,inverse,inverse_MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,8,4,200,43,"{""alpha"": 1e-06, ""hidden_layer_sizes"": [32]}",0.9994771177380198,0.6513050729632582,0.9974610375024155,0.0016511975215529428,1.243805270753779,0.4378102461790387,0
inverse,inverse_MLP,inverse,inverse_MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,9,0,200,43,"{""alpha"": 1e-05, ""hidden_layer_sizes"": [32]}",0.9983606054854394,0.9664893125451588,0.9976478937213148,0.0012396077922062969,1.2265682604961203,0.334713727784182,0
inverse,inverse_MLP,inverse,inverse_MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,9,1,200,43,"{""alpha"": 1e-05, ""hidden_layer_sizes"": [32]}",0.9955354370056257,1.5662076797573292,0.9976478937213148,0.0012396077922062969,1.2265682604961203,0.334713727784182,0
inverse,inverse_MLP,inverse,inverse_MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,9,2,200,43,"{""alpha"": 1e-05, ""hidden_layer_sizes"": [32]}",0.9974377113611484,1.4028355744245575,0.9976478937213148,0.0012396077922062969,1.2265682604961203,0.334713727784182,0
