selected_min_distance,opening,estimated_mass_at_ref_speed,estimated_mass_min,estimated_mass_max,min_distance_to_train,distance_score,order_consistency_score,low_score,mid_score,high_score,low_coverage,mid_coverage,high_coverage,best_role
1,43,4775.163362258878,2407.6959374237404,7142.630787094016,2.0,0.4,0.5502082135297657,0.16700646264194394,0.6401249281178594,0.2390227529225463,0.42802585056777576,1.0,0.6261326543961384,mid
1,44,4885.556796680216,2465.5243939066863,7305.589199453746,1.0,0.2,0.43765779426196505,0.13046148305996466,0.5425946765571791,0.22860603691808704,0.40184593223985865,1.0,0.6819557065247412,mid
1,46,5105.042730941801,2580.319431508206,7629.766030375396,1.0,0.2,0.21388330935698918,0.11746907027723608,0.40832998561419354,0.26755727410970115,0.3498762811089443,1.0,0.7930057583102026,mid
1,47,5214.135230782047,2637.2860126267797,7790.984448937315,2.0,0.4,0.10265924371981383,0.1410216370764868,0.3715955462318883,0.31692522730577444,0.32408654830594713,1.0,0.8482327579670605,mid
1,48,5323.227730622294,2694.252593745354,7952.202867499234,2.0,0.4,0.504282410958681,0.13457420387573743,0.31,0.33917091854449977,0.29829681550294973,1.0,0.9034597576239185,high
1,49,5432.320230462541,2751.2191748639275,8113.421286061154,1.0,0.2,0.5598944437772692,0.09812677067498814,0.28,0.3659096107974703,0.27250708269995255,1.0,0.9586867572807768,high
2,22,2506.028719488826,1247.4395604406777,3764.6178785369743,2.0,0.4,0.9318398164453414,0.775016296083318,0.11243764820000791,0.06,0.9532934962262686,0.20975059280003167,0.0,low
2,23,2611.1007680831576,1300.6487533479992,3921.5527828183167,2.0,0.4,0.8782772871853004,0.7160699783280289,0.13243780646032907,0.06,0.9292047964869131,0.2897512258413163,0.0,low
2,27,3032.2166400267965,1514.9312995160747,4549.501980537518,2.0,0.4,0.6636052453377627,0.4797041795874346,0.21246514895203275,0.06,0.8321954709927639,0.609860595808131,0.0,low
2,28,3137.7025274042826,1568.8633796927907,4706.541675115775,2.0,0.4,0.6098317536740357,0.4204675979724275,0.23247866193756336,0.06,0.8077795079850448,0.6899146477502535,0.0,low
2,32,3565.9087609536355,1785.8080304769692,5346.009491430302,2.0,0.4,0.2169094770118538,0.2765457768488848,0.4401456862071123,0.06267046514901907,0.7095650027979099,1.0,0.010681860596076282,mid
2,33,3674.525990350825,1840.3482756923422,5508.703705009308,2.0,0.4,0.32764898586436164,0.2648359790097974,0.506589391518617,0.07660360219013457,0.6848737132120617,1.0,0.06641440876053825,mid
2,37,4112.649493085068,2063.3414868638138,6161.957499306322,2.0,0.4,0.7743330136083597,0.21726357998078957,0.7745998081650158,0.13254827556445223,0.5839209226448301,1.0,0.2901931022578089,mid
2,38,4223.094015055,2120.297847234177,6325.890182875823,2.0,0.4,0.8869355186278518,0.20518717830537303,0.842161311176711,0.14658747521049556,0.5581358169470624,1.0,0.34634990084198225,mid
2,42,4664.769927837539,2349.8674809407944,6979.672374734286,2.0,0.4,0.6627586327975663,0.1735514422239232,0.7076551796785397,0.21943946892700547,0.4542057688956929,1.0,0.5703096022675352,mid
2,43,4775.163362258878,2407.6959374237404,7142.630787094016,2.0,0.4,0.5502082135297657,0.16700646264194394,0.6401249281178594,0.2390227529225463,0.42802585056777576,1.0,0.6261326543961384,mid
2,47,5214.135230782047,2637.2860126267797,7790.984448937315,2.0,0.4,0.10265924371981383,0.1410216370764868,0.3715955462318883,0.31692522730577444,0.32408654830594713,1.0,0.8482327579670605,mid
2,48,5323.227730622294,2694.252593745354,7952.202867499234,2.0,0.4,0.504282410958681,0.13457420387573743,0.31,0.33917091854449977,0.29829681550294973,1.0,0.9034597576239185,high
