protocol,are_GRNN,are_KAN,are_MLP,r2_GRNN,r2_KAN,r2_MLP
leave_opening_20_out,23.92118139080992,13.41736125946045,7.37554816191598,0.3823197600405529,0.7880734205245972,0.9386044326882144
leave_opening_25_out,1.8869472362522002,0.6891162395477295,2.591759604609835,0.9930007196613108,0.9992043375968933,0.9917448859499987
leave_opening_30_out,1.774840438725532,0.2960347831249237,2.204822088274157,0.9934014510752667,0.999812126159668,0.9935335778936494
leave_opening_35_out,1.8126183171023251,0.1819845587015152,1.9480495327517802,0.9928138797106564,0.9999558329582214,0.9958948544221092
leave_opening_40_out,1.7410425784180936,0.2100498080253601,1.6404654327989805,0.9928727694969653,0.999935507774353,0.996419214734131
leave_opening_45_out,1.7635683145284367,0.8778021335601807,1.333497998067336,0.9927357143057662,0.9991691708564758,0.9980735554504107
leave_opening_50_out,9.355573669483785,2.595296621322632,2.7833286356181732,0.8591771572875673,0.9872812032699585,0.9914297861027418
leave_speed_20_24_out,21.74991211606727,2.7587852478027344,6.7536447276610545,0.42391621074769825,0.9888211488723755,0.9477417577172462
leave_speed_38_42_out,2.5048464669085955,0.21703073382377625,0.7997247406153544,0.9896853239795772,0.999938428401947,0.9984286258036893
leave_speed_56_60_out,7.444136995579301,1.3175885677337646,2.0599630456990496,0.9008895598515592,0.995738685131073,0.993748735059884
random_interp,2.792923563890828,0.25886866450309753,4.745113843381735,0.9944334282036346,0.9999446868896484,0.9834162860565963
