model,r2_mean,r2_std,r2_min,r2_max,are_mean,are_std,are_min,are_max,folds
MLP,0.9865286153201793,0.021275430940458896,0.9386044326882144,0.9980735554504107,2.839638779148035,2.063310011787138,1.333497998067336,7.37554816191598,7
KAN,0.9676330855914524,0.07931234414470921,0.7880734205245972,0.9999558329582214,2.609663629106113,4.839060370077577,0.1819845587015152,13.41736125946045,7
GRNN,0.8866173502254409,0.2278955584384887,0.3823197600405529,0.9934014510752667,6.03653884933147,8.374651086656844,1.7410425784180936,23.92118139080992,7
