opening,slope,intercept,speed_min,speed_max,mass_min,mass_max,estimated_mass_at_reference_speed,reference_speed,r2,sample_count
20.0,57.74317182481081,-13.842256233667406,20.0,60.0,1144.270263671875,3452.63037109375,2295.884616758765,40.0,0.9999718400400088,41
25.0,70.70888569795297,-7.110566780541812,20.0,60.0,1415.7520751953125,4243.6396484375,2821.2448611375767,40.0,0.9999675136399184,41
30.0,83.59733778259064,4.780790216000395,20.0,60.0,1679.7452392578125,5010.84423828125,3348.674301519626,40.0,0.9999629093015643,41
35.0,97.11658388995127,7.097085879654505,20.0,60.0,1955.810546875,5827.92431640625,3891.760441477705,40.0,0.9999729663621095,41
40.0,110.48862432287129,24.43808015298323,20.0,60.0,2228.5908203125,6640.93896484375,4443.983053067835,40.0,0.9999586722550052,41
45.0,123.62986809600936,50.75548933607435,20.0,60.0,2522.22021484375,7445.9189453125,4995.950213176449,40.0,0.9999578919067593,41
50.0,136.6613495192046,74.95878957289834,20.0,60.0,2799.788330078125,8234.0224609375,5541.412770341082,40.0,0.9999063267247055,41
