rule_name,threshold_source,low_mid_threshold,mid_high_threshold,low_opening,mid_opening,high_opening,low_estimated_mass,mid_estimated_mass,high_estimated_mass,feasible_coverage_rate,zone_label_agreement_vs_kmeans,low_mid_deviation_vs_kmeans,mid_high_deviation_vs_kmeans
engineering_fixed_thresholds,engineering_fixed_thresholds,2800.0,4800.0,20.0,35.0,50.0,2295.884616758765,3891.760441477705,5541.412770341082,1.0,0.7909407665505227,-525.246337890625,-505.74169921875
kmeans_learned_thresholds,kmeans_learned_thresholds,3325.246337890625,5305.74169921875,20.0,35.0,50.0,2295.884616758765,3891.760441477705,5541.412770341082,1.0,1.0,0.0,0.0
