protocol,protocol_desc,model,r2,are,train_size,val_size,test_size,holdout_opening,val_opening,holdout_speed_min,holdout_speed_max,val_speed_min,val_speed_max
random_interp,随机联合分层切分（规则网格内插值评估）,MLP,0.9834162860565963,4.745113843381735,200,43,44,,,,,,
random_interp,随机联合分层切分（规则网格内插值评估）,GRNN,0.9944334282036346,2.792923563890828,200,43,44,,,,,,
random_interp,随机联合分层切分（规则网格内插值评估）,KAN,0.9999446868896484,0.25886866450309753,200,43,44,,,,,,
leave_opening_50_out,留一开度层外推：test 开度=50,MLP,0.9914297861027418,2.7833286356181732,209,37,41,50.0,,,,,
leave_opening_50_out,留一开度层外推：test 开度=50,GRNN,0.8591771572875673,9.355573669483785,209,37,41,50.0,,,,,
leave_opening_50_out,留一开度层外推：test 开度=50,KAN,0.9872804880142212,2.5956239700317383,209,37,41,50.0,,,,,
leave_speed_56_60_out,"留一速度段外推：test 速度∈[56, 60]",MLP,0.993748735059884,2.0599630456990496,214,38,35,,,56.0,60.0,,
leave_speed_56_60_out,"留一速度段外推：test 速度∈[56, 60]",GRNN,0.9008895598515592,7.444136995579301,214,38,35,,,56.0,60.0,,
leave_speed_56_60_out,"留一速度段外推：test 速度∈[56, 60]",KAN,0.995738685131073,1.3175885677337646,214,38,35,,,56.0,60.0,,
