true,KAN_pred
1426.1854,1423.3413
1664.0759,1651.5896
2413.8792,2414.996
2526.4011,2527.7378
2884.5242,2869.9912
3044.704,3045.9917
1473.7611,1493.3418
1700.0353,1690.1122
1760.728,1758.2997
2458.805,2470.0498
2954.2683,2970.707
3666.755,3669.2734
3809.1907,3811.1177
1679.7452,1702.1812
2929.6528,2921.5654
3844.4187,3846.9604
3935.89,3930.299
4102.642,4097.956
4206.3315,4182.533
4268.961,4267.7085
4675.305,4696.0405
3493.7063,3498.7256
3888.157,3888.5063
3994.0007,3985.8662
4176.9893,4180.577
4284.7866,4277.802
4371.694,4374.808
4766.6953,4762.3047
4967.5664,4957.687
5065.6377,5056.047
2338.5566,2333.542
3224.4045,3236.4473
5868.4106,5882.2207
2890.384,2873.4595
3381.0774,3384.876
3507.9988,3512.4832
4751.7534,4754.8516
5624.7373,5627.4434
6359.73,6363.242
6483.2754,6486.964
3894.7515,3902.5212
4031.8428,4040.8442
5550.1455,5551.833
5975.8765,5966.626
