protocol,are_GRNN,are_KAN,are_MLP,r2_GRNN,r2_KAN,r2_MLP
leave_opening_20_out,23.921181390809924,8.273423194885254,4.302541652829271,0.3823197600405529,0.9170485734939575,0.9815551179549663
leave_opening_25_out,1.8869472362521986,0.7732728123664856,1.7421219208386336,0.9930007196613108,0.9991865158081055,0.9963863232604323
leave_opening_30_out,1.774840438725533,0.44370201230049133,1.6925545821152819,0.9934014510752666,0.9997718334197998,0.9962604604812368
leave_opening_35_out,1.8126183171023273,0.3006914258003235,0.7101644955832945,0.9928138797106564,0.9998679757118225,0.9994382437547115
leave_opening_40_out,1.7410425784180943,0.205670565366745,1.295873151704452,0.9928727694969653,0.9999430775642395,0.9978740498666542
leave_opening_45_out,1.763568314528431,0.32782673835754395,1.1127048541543891,0.9927357143057662,0.99981689453125,0.998308153749833
leave_opening_50_out,9.355573669483789,2.6055548191070557,1.0395668807503122,0.8591771572875673,0.9886049032211304,0.9978605342729961
leave_speed_20_24_out,21.74991211606728,2.5455806255340576,5.811857013445447,0.4239162107476979,0.9902870059013367,0.9633971862950018
leave_speed_38_42_out,2.504846466908589,0.15573690831661224,1.215739733929859,0.9896853239795772,0.9999617338180542,0.9977635373333126
leave_speed_56_60_out,7.4441369955793055,1.5036569833755493,1.9308264181922858,0.900889559851559,0.99566251039505,0.9945372310337268
random_interp,2.7929236073139734,0.2159622609615326,1.0476987126891304,0.994433427677608,0.9999555349349976,0.9992511752449642
