model,r2_mean,r2_std,r2_min,r2_max,are_mean,are_std,are_min,are_max,folds
KAN,0.995303750038147,0.004847331411291402,0.9902870059013367,0.9999617338180542,1.4016581724087398,1.1981824010808648,0.15573690831661224,2.5455806255340576,3
MLP,0.9852326515540137,0.018978749178826936,0.9633971862950018,0.9977635373333126,2.986141055189197,2.473123581437124,1.215739733929859,5.811857013445447,3
GRNN,0.771497031526278,0.30427042603842264,0.4239162107476979,0.9896853239795772,10.566298526185058,9.995201720200686,2.504846466908589,21.74991211606728,3
