model,r2_mean,r2_std,r2_min,r2_max,are_mean,are_std,are_min,are_max,folds
MLP,0.99538326904869,0.006195858128460098,0.9815551179549663,0.9994382437547115,1.6993610768536622,1.2041061841512204,0.7101644955832945,4.302541652829271,7
KAN,0.9863199676786151,0.030826266977195604,0.9170485734939575,0.9999430775642395,1.8471630811691284,2.9549217570423263,0.205670565366745,8.273423194885254,7
GRNN,0.8866173502254407,0.2278955584384887,0.3823197600405529,0.9934014510752666,6.036538849331471,8.374651086656844,1.7410425784180943,23.921181390809924,7
