inverse_model,forward_model,local_monotone_rate,avg_speed_change_minus_to_base,avg_speed_change_base_to_plus,avg_mass_tracking_are_minus_percent,avg_mass_tracking_are_plus_percent,avg_speed_symmetry_gap,n_samples
KAN,KAN,1.0,1.96847694570368,1.9653874744068494,1.4263572582552877,1.2747447868322308,0.028344501148570667,44
MLP,KAN,1.0,1.8885212991118314,1.936503189748926,1.801390321494899,1.8899772587462529,0.08463471670978864,44
GRNN,KAN,1.0,1.6857533554709945,1.6945370315512343,4.695577569311965,3.9382617345393043,0.1094304696032632,44
