inverse_model,opening_mm,target_grid_min,target_grid_max,n_steps,monotone_non_decreasing_rate,violation_count,max_negative_step,avg_positive_step,pred_speed_min,pred_speed_max
MLP,20.0,1144.270263671875,8121.93408203125,199,1.0,0,0.393399455524559,0.477303255399433,20.470838804458847,115.45418662894602
MLP,35.0,1144.270263671875,8121.93408203125,199,1.0,0,0.32240697492920845,0.38314839003395473,10.470695206142945,86.71722482289992
MLP,50.0,1144.270263671875,8121.93408203125,199,1.0,0,0.2655206272836992,0.2837048077905788,3.094789413431453,59.55204616375663
GRNN,20.0,1144.270263671875,8121.93408203125,199,1.0,0,0.011740244992587634,0.15005278214553766,28.964578076611943,58.82508172357394
GRNN,35.0,1144.270263671875,8121.93408203125,199,1.0,0,0.027129374327827804,0.17314467879612822,23.701030187692623,58.15682126812214
GRNN,50.0,1144.270263671875,8121.93408203125,199,1.0,0,0.02431720583641095,0.1736147347581568,21.350070376577946,55.89940259345115
KAN,20.0,1144.270263671875,8121.93408203125,199,1.0,0,0.061767578125,0.31781273271570254,20.146150588989258,83.39088439941406
KAN,35.0,1144.270263671875,8121.93408203125,199,1.0,0,0.1810455322265625,0.3074856714986677,14.130663871765137,75.3203125
KAN,50.0,1144.270263671875,8121.93408203125,199,0.9095477386934674,18,-0.046539306640625,0.2352691776844678,16.348182678222656,58.93190383911133
