inverse_model,forward_model,decision_r2,decision_are_percent,decision_mae_g_min,decision_rmse_g_min,within_5pct_rate,within_10pct_rate,speed_feasible_rate,speed_out_of_range_count,speed_pred_min,speed_pred_max,n_samples
KAN,KAN,0.9981677690708044,1.3981746366581247,50.64756913618608,56.408723309603886,1.0,1.0,1.0,0,24.61517906188965,49.34321975708008,44
MLP,KAN,0.9955117600399679,1.9000693728500282,71.73727416992188,88.28647954794559,1.0,1.0,1.0,0,25.233742763670087,48.96777244364341,44
GRNN,KAN,0.9895140680513554,4.188722738563105,113.31008356267756,134.94589653062948,0.8636363636363636,0.8636363636363636,1.0,0,30.430694744025175,48.384407011385086,44
