protocol,protocol_desc,model,task_name,model_name,budget_profile,trial_budget,validation_repeats,selection_metric,tie_break_metric,seed,inner_val_ratio,candidate_idx,repeat_idx,repeat_train_size,repeat_val_size,config_json,val_r2,val_are,mean_val_r2,std_val_r2,mean_val_are,std_val_are,is_selected
random_interp,随机联合分层切分（规则网格内插值评估）,MLP,forward,MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,3,1,200,43,"{""alpha"": 0.001, ""hidden_layer_sizes"": [8]}",0.9975788170279344,2.0861406622959273,0.9917134463592838,0.010107217061255542,3.3922063887720433,2.6610205143858594,0
random_interp,随机联合分层切分（规则网格内插值评估）,MLP,forward,MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,3,2,200,43,"{""alpha"": 0.001, ""hidden_layer_sizes"": [8]}",0.9910861560135487,3.6450114435191123,0.9917134463592838,0.010107217061255542,3.3922063887720433,2.6610205143858594,0
random_interp,随机联合分层切分（规则网格内插值评估）,MLP,forward,MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,3,3,200,43,"{""alpha"": 0.001, ""hidden_layer_sizes"": [8]}",0.9723258546002336,8.45250368061894,0.9917134463592838,0.010107217061255542,3.3922063887720433,2.6610205143858594,0
random_interp,随机联合分层切分（规则网格内插值评估）,MLP,forward,MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,3,4,200,43,"{""alpha"": 0.001, ""hidden_layer_sizes"": [8]}",0.9987824487343538,1.406755908893973,0.9917134463592838,0.010107217061255542,3.3922063887720433,2.6610205143858594,0
random_interp,随机联合分层切分（规则网格内插值评估）,MLP,forward,MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,4,0,200,43,"{""alpha"": 1e-06, ""hidden_layer_sizes"": [16]}",0.9918948197254751,3.414491765967169,0.9969577799844058,0.002638971408401693,2.091813666780396,0.7865393115748914,0
random_interp,随机联合分层切分（规则网格内插值评估）,MLP,forward,MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,4,1,200,43,"{""alpha"": 1e-06, ""hidden_layer_sizes"": [16]}",0.9989711945646952,1.2930156885428399,0.9969577799844058,0.002638971408401693,2.091813666780396,0.7865393115748914,0
random_interp,随机联合分层切分（规则网格内插值评估）,MLP,forward,MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,4,2,200,43,"{""alpha"": 1e-06, ""hidden_layer_sizes"": [16]}",0.9968263678138669,2.542634351517203,0.9969577799844058,0.002638971408401693,2.091813666780396,0.7865393115748914,0
random_interp,随机联合分层切分（规则网格内插值评估）,MLP,forward,MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,4,3,200,43,"{""alpha"": 1e-06, ""hidden_layer_sizes"": [16]}",0.9987169747032744,1.4874061004023778,0.9969577799844058,0.002638971408401693,2.091813666780396,0.7865393115748914,0
random_interp,随机联合分层切分（规则网格内插值评估）,MLP,forward,MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,4,4,200,43,"{""alpha"": 1e-06, ""hidden_layer_sizes"": [16]}",0.9983795431147175,1.7215204274723905,0.9969577799844058,0.002638971408401693,2.091813666780396,0.7865393115748914,0
random_interp,随机联合分层切分（规则网格内插值评估）,MLP,forward,MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,5,0,200,43,"{""alpha"": 1e-05, ""hidden_layer_sizes"": [16]}",0.9918856361794214,3.3921660276515926,0.9972923160012712,0.0027191476156072864,1.9342819109953495,0.7549324534237962,0
random_interp,随机联合分层切分（规则网格内插值评估）,MLP,forward,MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,5,1,200,43,"{""alpha"": 1e-05, ""hidden_layer_sizes"": [16]}",0.999125387611285,1.2531961469348167,0.9972923160012712,0.0027191476156072864,1.9342819109953495,0.7549324534237962,0
random_interp,随机联合分层切分（规则网格内插值评估）,MLP,forward,MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,5,2,200,43,"{""alpha"": 1e-05, ""hidden_layer_sizes"": [16]}",0.998382385694605,1.7539264715552225,0.9972923160012712,0.0027191476156072864,1.9342819109953495,0.7549324534237962,0
random_interp,随机联合分层切分（规则网格内插值评估）,MLP,forward,MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,5,3,200,43,"{""alpha"": 1e-05, ""hidden_layer_sizes"": [16]}",0.9987623907916757,1.4780874002350695,0.9972923160012712,0.0027191476156072864,1.9342819109953495,0.7549324534237962,0
random_interp,随机联合分层切分（规则网格内插值评估）,MLP,forward,MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,5,4,200,43,"{""alpha"": 1e-05, ""hidden_layer_sizes"": [16]}",0.9983057797293688,1.7940335086000456,0.9972923160012712,0.0027191476156072864,1.9342819109953495,0.7549324534237962,0
