protocol,are_GRNN,are_KAN,are_MLP,r2_GRNN,r2_KAN,r2_MLP
leave_opening_20_out,23.921181390809924,10.45634937286377,1.8943181560625402,0.3823197600405529,0.8705427646636963,0.9931908566805299
leave_opening_25_out,1.8869472362521986,0.8080031275749207,1.7517581525123251,0.9930007196613108,0.9990313649177551,0.996105504596028
leave_opening_30_out,1.774840438725533,0.3716869056224823,1.3464350037827761,0.9934014510752666,0.9997483491897583,0.997496831369781
leave_opening_35_out,1.8126183171023273,0.21744674444198608,1.096965278133149,0.9928138797106564,0.9999257326126099,0.9986304824603021
leave_opening_40_out,1.7410425784180943,0.1846223622560501,0.7928529738066826,0.9928727694969653,0.9999511241912842,0.9988457171967269
leave_opening_45_out,1.763568314528431,0.2504928410053253,0.7236932626883318,0.9927357143057662,0.999899685382843,0.9992598473772998
leave_opening_50_out,9.355573669483789,1.7103384733200073,1.1088718517413279,0.8591771572875673,0.9957430958747864,0.9969628235676972
leave_speed_20_24_out,21.74991211606728,2.277984142303467,4.4126435889765725,0.4239162107476979,0.9907033443450928,0.9741873731766203
leave_speed_38_42_out,2.504846466908589,0.15573690831661224,0.5252781077882431,0.9896853239795772,0.9999617338180542,0.9993963302270441
leave_speed_56_60_out,7.4441369955793055,1.5036569833755493,1.9308264181922858,0.900889559851559,0.99566251039505,0.9945372310337268
random_interp,2.7929236073139734,0.21700479090213776,1.0476987126891304,0.994433427677608,0.9999551177024841,0.9992511752449642
