Task,Model,DisplayName,ArchitectureNote,n_replicates,R2,R2_std,ARE(%),ARE(%)_std,n_test,n_test_std,Hyperparams
forward,MLP,MLP,,25,0.99938400918723,0.00034737814885317276,0.9651603628544979,0.29120332299340485,44.0,0.0,"hidden=(32, 32), alpha=1e-05"
forward,GRNN,GRNN,,25,0.9924678323391418,0.0017877603443879485,3.0253869017916113,0.6366085136223021,44.0,0.0,sigma=0.1
forward,KAN,KAN,forward spline/grid KAN,25,0.9999671769142151,1.8816894025609224e-05,0.17972795754671098,0.04164428025810426,44.0,0.0,"hidden=16, lr=0.01, wd=0.0001"
