Task,Model,DisplayName,ArchitectureNote,R2_main,ARE_main(%),n_main,main_ratio,R2_all,ARE_all(%),n_all,Hyperparams,protocol,fold_id,train_seed,outer_repeat_id,split_seed,replicate_id,is_canonical_replicate,canonical_replicate_rule
inverse,inverse_KAN,inverse_KAN,repaired spline/grid KAN,0.9999590357466259,0.10533572018504496,12,0.2727272727272727,0.9999833003479538,0.09537986028448282,44,"hidden=64, lr=0.005, wd=1e-05",random_interp,1,42,2,1002,random_interp|fold=1|train_seed=42|outer_repeat_id=2,0,first_train_seed_first_outer_repeat
inverse,inverse_MLP,inverse_MLP,,0.9988639174246784,0.4666263902116923,12,0.2727272727272727,0.9983782153797194,0.8891498857258046,44,"hidden=(32, 16), alpha=0.001",random_interp,1,52,2,1002,random_interp|fold=1|train_seed=52|outer_repeat_id=2,0,first_train_seed_first_outer_repeat
inverse,inverse_GRNN,inverse_GRNN,,0.8302513815865218,6.060414286610421,12,0.2727272727272727,0.9020458416503683,6.859859949556267,44,sigma=0.1,random_interp,1,52,2,1002,random_interp|fold=1|train_seed=52|outer_repeat_id=2,0,first_train_seed_first_outer_repeat
inverse,inverse_KAN,inverse_KAN,repaired spline/grid KAN,0.9999581549679954,0.11180929368230247,12,0.2727272727272727,0.9999842177389477,0.09275940626380298,44,"hidden=64, lr=0.005, wd=1e-05",random_interp,1,52,2,1002,random_interp|fold=1|train_seed=52|outer_repeat_id=2,0,first_train_seed_first_outer_repeat
inverse,inverse_MLP,inverse_MLP,,0.9986977858201441,0.5972623045337488,12,0.2727272727272727,0.9984859915826758,0.7937638613612926,44,"hidden=(32, 16), alpha=0.001",random_interp,1,62,2,1002,random_interp|fold=1|train_seed=62|outer_repeat_id=2,0,first_train_seed_first_outer_repeat
inverse,inverse_GRNN,inverse_GRNN,,0.8302513815865218,6.060414286610421,12,0.2727272727272727,0.9020458416503683,6.859859949556267,44,sigma=0.1,random_interp,1,62,2,1002,random_interp|fold=1|train_seed=62|outer_repeat_id=2,0,first_train_seed_first_outer_repeat
inverse,inverse_KAN,inverse_KAN,repaired spline/grid KAN,0.9999542852973241,0.11216646726059849,12,0.2727272727272727,0.9999822342873246,0.09850287410124241,44,"hidden=64, lr=0.01, wd=1e-05",random_interp,1,62,2,1002,random_interp|fold=1|train_seed=62|outer_repeat_id=2,0,first_train_seed_first_outer_repeat
inverse,inverse_MLP,inverse_MLP,,0.9992351236388705,0.5162762833881943,12,0.2727272727272727,0.9996016686214985,0.5206900277659762,44,"hidden=(32, 16), alpha=1e-05",random_interp,1,72,2,1002,random_interp|fold=1|train_seed=72|outer_repeat_id=2,0,first_train_seed_first_outer_repeat
inverse,inverse_GRNN,inverse_GRNN,,0.8302513815865218,6.060414286610421,12,0.2727272727272727,0.9020458416503683,6.859859949556267,44,sigma=0.1,random_interp,1,72,2,1002,random_interp|fold=1|train_seed=72|outer_repeat_id=2,0,first_train_seed_first_outer_repeat
inverse,inverse_KAN,inverse_KAN,repaired spline/grid KAN,0.9999478440309321,0.11740105257398782,12,0.2727272727272727,0.9999823316216274,0.09672605452403404,44,"hidden=64, lr=0.01, wd=1e-05",random_interp,1,72,2,1002,random_interp|fold=1|train_seed=72|outer_repeat_id=2,0,first_train_seed_first_outer_repeat
inverse,inverse_MLP,inverse_MLP,,0.9990386587421108,0.409652304104038,12,0.2727272727272727,0.9993111895673309,0.5664359965803026,44,"hidden=(32, 32), alpha=0.0001",random_interp,1,82,2,1002,random_interp|fold=1|train_seed=82|outer_repeat_id=2,0,first_train_seed_first_outer_repeat
inverse,inverse_GRNN,inverse_GRNN,,0.8302513815865218,6.060414286610421,12,0.2727272727272727,0.9020458416503683,6.859859949556267,44,sigma=0.1,random_interp,1,82,2,1002,random_interp|fold=1|train_seed=82|outer_repeat_id=2,0,first_train_seed_first_outer_repeat
inverse,inverse_KAN,inverse_KAN,repaired spline/grid KAN,0.9999402607973263,0.1179131622430538,12,0.2727272727272727,0.9999809457541755,0.09583901321001796,44,"hidden=32, lr=0.01, wd=1e-05",random_interp,1,82,2,1002,random_interp|fold=1|train_seed=82|outer_repeat_id=2,0,first_train_seed_first_outer_repeat
inverse,inverse_MLP,inverse_MLP,,0.9996555441062345,0.3686811344088237,9,0.20454545454545456,0.9991801450134555,0.8261923991420036,44,"hidden=(32, 32), alpha=1e-05",random_interp,1,42,3,1003,random_interp|fold=1|train_seed=42|outer_repeat_id=3,0,first_train_seed_first_outer_repeat
inverse,inverse_GRNN,inverse_GRNN,,0.8254039208060483,12.076762220557393,9,0.20454545454545456,0.8920202372166678,7.916068004623014,44,sigma=0.1,random_interp,1,42,3,1003,random_interp|fold=1|train_seed=42|outer_repeat_id=3,0,first_train_seed_first_outer_repeat
inverse,inverse_KAN,inverse_KAN,repaired spline/grid KAN,0.9999813171221872,0.10029318388575413,9,0.20454545454545456,0.9999533535563727,0.13659808581447042,44,"hidden=64, lr=0.01, wd=1e-05",random_interp,1,42,3,1003,random_interp|fold=1|train_seed=42|outer_repeat_id=3,0,first_train_seed_first_outer_repeat
inverse,inverse_MLP,inverse_MLP,,0.9997362786239978,0.31343144196081574,9,0.20454545454545456,0.9992936050759795,0.6294430715817548,44,"hidden=(32, 32), alpha=1e-05",random_interp,1,52,3,1003,random_interp|fold=1|train_seed=52|outer_repeat_id=3,0,first_train_seed_first_outer_repeat
