metric,model_a,model_b,paired_n,mean_delta,std_delta,ci_low,ci_high,win_count,tie_count,loss_count,p_value,stats_method,n_permutations,ci_method,paired_key_definition,higher_is_better,better_model_by_mean
R2,GRNN,KAN,25,-0.0074993445750733126,0.0017874848674316168,-0.008191729244835697,-0.006840308730319092,0,0,25,0.0,paired_permutation_monte_carlo,10000,paired_bootstrap_percentile,"(protocol, fold_id, train_seed, outer_repeat_id)",1,KAN
R2,GRNN,MLP,25,-0.006916176848088376,0.0016676978228989754,-0.007547083120400136,-0.006285235454858986,0,0,25,0.0,paired_permutation_monte_carlo,10000,paired_bootstrap_percentile,"(protocol, fold_id, train_seed, outer_repeat_id)",1,MLP
R2,KAN,MLP,25,0.0005831677269849367,0.00034657556787581897,0.0004604701582948119,0.0007247928182657361,25,0,0,0.0,paired_permutation_monte_carlo,10000,paired_bootstrap_percentile,"(protocol, fold_id, train_seed, outer_repeat_id)",1,KAN
ARE(%),GRNN,KAN,25,-2.8456589442449003,0.6083345563748849,-3.081498195535136,-2.6249854953229192,0,0,25,0.0,paired_permutation_monte_carlo,10000,paired_bootstrap_percentile,"(protocol, fold_id, train_seed, outer_repeat_id)",0,KAN
ARE(%),GRNN,MLP,25,-2.0602265389371137,0.5202431087352593,-2.264804143021818,-1.8692367177634421,0,0,25,0.0,paired_permutation_monte_carlo,10000,paired_bootstrap_percentile,"(protocol, fold_id, train_seed, outer_repeat_id)",0,MLP
ARE(%),KAN,MLP,25,0.7854324053077869,0.2748584547137888,0.6873651916458208,0.8950850715164371,25,0,0,0.0,paired_permutation_monte_carlo,10000,paired_bootstrap_percentile,"(protocol, fold_id, train_seed, outer_repeat_id)",0,KAN
