Task,Model,DisplayName,ArchitectureNote,R2,ARE(%),n_test,Hyperparams,protocol,fold_id,train_seed,outer_repeat_id,split_seed,replicate_id,is_canonical_replicate,canonical_replicate_rule
forward,MLP,MLP,,0.9988891163684642,1.0542218171588589,44,"hidden=(32, 16), alpha=0.001",random_interp,1,72,2,1002,random_interp|fold=1|train_seed=72|outer_repeat_id=2,0,first_train_seed_first_outer_repeat
forward,GRNN,GRNN,,0.9927680733161238,2.155831021545548,44,sigma=0.1,random_interp,1,72,2,1002,random_interp|fold=1|train_seed=72|outer_repeat_id=2,0,first_train_seed_first_outer_repeat
forward,KAN,KAN,forward spline/grid KAN,0.9999277591705322,0.17698632180690765,44,"hidden=16, lr=0.01, wd=0.0001",random_interp,1,72,2,1002,random_interp|fold=1|train_seed=72|outer_repeat_id=2,0,first_train_seed_first_outer_repeat
forward,MLP,MLP,,0.9995451598499422,0.7753127464684798,44,"hidden=(32, 16), alpha=0.0001",random_interp,1,82,2,1002,random_interp|fold=1|train_seed=82|outer_repeat_id=2,0,first_train_seed_first_outer_repeat
forward,GRNN,GRNN,,0.9927680733161238,2.155831021545548,44,sigma=0.1,random_interp,1,82,2,1002,random_interp|fold=1|train_seed=82|outer_repeat_id=2,0,first_train_seed_first_outer_repeat
forward,KAN,KAN,forward spline/grid KAN,0.9999810457229614,0.12729698419570923,44,"hidden=32, lr=0.01, wd=0.0001",random_interp,1,82,2,1002,random_interp|fold=1|train_seed=82|outer_repeat_id=2,0,first_train_seed_first_outer_repeat
forward,MLP,MLP,,0.9994152721009298,1.0114333261812976,44,"hidden=(32, 16), alpha=0.001",random_interp,1,42,3,1003,random_interp|fold=1|train_seed=42|outer_repeat_id=3,0,first_train_seed_first_outer_repeat
forward,GRNN,GRNN,,0.9924105152622404,2.9133148531454096,44,sigma=0.1,random_interp,1,42,3,1003,random_interp|fold=1|train_seed=42|outer_repeat_id=3,0,first_train_seed_first_outer_repeat
forward,KAN,KAN,forward spline/grid KAN,0.9999700784683228,0.2130793035030365,44,"hidden=32, lr=0.01, wd=1e-05",random_interp,1,42,3,1003,random_interp|fold=1|train_seed=42|outer_repeat_id=3,0,first_train_seed_first_outer_repeat
forward,MLP,MLP,,0.9997304915054973,0.7049343315393544,44,"hidden=(32, 32), alpha=0.001",random_interp,1,52,3,1003,random_interp|fold=1|train_seed=52|outer_repeat_id=3,0,first_train_seed_first_outer_repeat
forward,GRNN,GRNN,,0.9924105152622404,2.9133148531454096,44,sigma=0.1,random_interp,1,52,3,1003,random_interp|fold=1|train_seed=52|outer_repeat_id=3,0,first_train_seed_first_outer_repeat
forward,KAN,KAN,forward spline/grid KAN,0.9999696016311646,0.1681707352399826,44,"hidden=32, lr=0.01, wd=0.0001",random_interp,1,52,3,1003,random_interp|fold=1|train_seed=52|outer_repeat_id=3,0,first_train_seed_first_outer_repeat
forward,MLP,MLP,,0.999612563675476,0.7433007124868855,44,"hidden=(32, 32), alpha=1e-06",random_interp,1,62,3,1003,random_interp|fold=1|train_seed=62|outer_repeat_id=3,0,first_train_seed_first_outer_repeat
forward,GRNN,GRNN,,0.9924105152622404,2.9133148531454096,44,sigma=0.1,random_interp,1,62,3,1003,random_interp|fold=1|train_seed=62|outer_repeat_id=3,0,first_train_seed_first_outer_repeat
forward,KAN,KAN,forward spline/grid KAN,0.9999760985374451,0.1462894082069397,44,"hidden=32, lr=0.01, wd=1e-05",random_interp,1,62,3,1003,random_interp|fold=1|train_seed=62|outer_repeat_id=3,0,first_train_seed_first_outer_repeat
forward,MLP,MLP,,0.9995443935831555,0.8742487247130554,44,"hidden=(32, 32), alpha=0.0001",random_interp,1,72,3,1003,random_interp|fold=1|train_seed=72|outer_repeat_id=3,0,first_train_seed_first_outer_repeat
forward,GRNN,GRNN,,0.9924105152622404,2.9133148531454096,44,sigma=0.1,random_interp,1,72,3,1003,random_interp|fold=1|train_seed=72|outer_repeat_id=3,0,first_train_seed_first_outer_repeat
forward,KAN,KAN,forward spline/grid KAN,0.9999499320983887,0.20629310607910156,44,"hidden=16, lr=0.01, wd=1e-05",random_interp,1,72,3,1003,random_interp|fold=1|train_seed=72|outer_repeat_id=3,0,first_train_seed_first_outer_repeat
forward,MLP,MLP,,0.9991611247225249,0.9905159025375693,44,"hidden=(32, 16), alpha=1e-05",random_interp,1,82,3,1003,random_interp|fold=1|train_seed=82|outer_repeat_id=3,0,first_train_seed_first_outer_repeat
