comparison_scope,reported_model,task_name,model_name,budget_profile,trial_budget,validation_repeats,selection_metric,tie_break_metric,seed,inner_val_ratio,candidate_idx,inner_fold_id,inner_fold_count,inner_split_strategy,repeat_train_size,repeat_val_size,config_json,val_r2,val_are,mean_val_r2,std_val_r2,mean_val_are,std_val_are,inner_split_meta_json,repeat_idx,is_selected
inverse,inverse_MLP,inverse,inverse_MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,0,0,5,unknown,200,43,"{""alpha"": 1e-06, ""hidden_layer_sizes"": [8]}",0.9787531401294634,3.9449615171699075,0.9687386571911094,0.02038451689209574,4.277507866284933,0.7148982165356087,{},0,0
inverse,inverse_MLP,inverse,inverse_MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,0,1,5,unknown,200,43,"{""alpha"": 1e-06, ""hidden_layer_sizes"": [8]}",0.9285928497247702,5.52965017745302,0.9687386571911094,0.02038451689209574,4.277507866284933,0.7148982165356087,{},1,0
inverse,inverse_MLP,inverse,inverse_MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,0,2,5,unknown,200,43,"{""alpha"": 1e-06, ""hidden_layer_sizes"": [8]}",0.9831464975654043,3.504072910686444,0.9687386571911094,0.02038451689209574,4.277507866284933,0.7148982165356087,{},2,0
inverse,inverse_MLP,inverse,inverse_MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,0,3,5,unknown,200,43,"{""alpha"": 1e-06, ""hidden_layer_sizes"": [8]}",0.972449069495647,4.5705330225716265,0.9687386571911094,0.02038451689209574,4.277507866284933,0.7148982165356087,{},3,0
inverse,inverse_MLP,inverse,inverse_MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,0,4,5,unknown,200,43,"{""alpha"": 1e-06, ""hidden_layer_sizes"": [8]}",0.9807517290402618,3.838321703543662,0.9687386571911094,0.02038451689209574,4.277507866284933,0.7148982165356087,{},4,0
inverse,inverse_MLP,inverse,inverse_MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,1,0,5,unknown,200,43,"{""alpha"": 1e-05, ""hidden_layer_sizes"": [8]}",0.9788082454084311,3.938293635214232,0.9688993950100879,0.0205065367141202,4.319709569510591,0.6731216508116195,{},0,0
inverse,inverse_MLP,inverse,inverse_MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,1,1,5,unknown,200,43,"{""alpha"": 1e-05, ""hidden_layer_sizes"": [8]}",0.9285928776639695,5.5296440058840135,0.9688993950100879,0.0205065367141202,4.319709569510591,0.6731216508116195,{},1,0
inverse,inverse_MLP,inverse,inverse_MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,1,2,5,unknown,200,43,"{""alpha"": 1e-05, ""hidden_layer_sizes"": [8]}",0.9840701154789888,3.7198695909497217,0.9688993950100879,0.0205065367141202,4.319709569510591,0.6731216508116195,{},2,0
inverse,inverse_MLP,inverse,inverse_MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,1,3,5,unknown,200,43,"{""alpha"": 1e-05, ""hidden_layer_sizes"": [8]}",0.9724074526696285,4.5728545899066315,0.9688993950100879,0.0205065367141202,4.319709569510591,0.6731216508116195,{},3,0
inverse,inverse_MLP,inverse,inverse_MLP,high,24,5,mean_val_r2,mean_val_are,42,0.17695473251028807,1,4,5,unknown,200,43,"{""alpha"": 1e-05, ""hidden_layer_sizes"": [8]}",0.9806182838294221,3.8378860255983542,0.9688993950100879,0.0205065367141202,4.319709569510591,0.6731216508116195,{},4,0
