true,MLP_pred
1664.0759,1641.6340142262766
4031.8428,4281.646394511457
3994.0007,3639.735745472008
3507.9988,3459.114719761233
5624.7373,5528.2236264315225
5868.4106,5803.243795539496
2929.6528,2799.1255813671924
3666.755,3609.733572607197
3935.89,3669.1903529892083
3044.704,3308.858477749283
3493.7063,3238.9359667671765
2890.384,3076.5413961078057
3888.157,3518.0235720647443
5550.1455,5628.481701123448
1426.1854,1363.7632841077645
4751.7534,4676.237542026541
6359.73,6302.787696923283
3894.7515,4159.934148558015
1700.0353,1664.638316856727
5975.8765,6019.765090831373
6483.2754,6433.215700802024
2458.805,2428.782866088602
4967.5664,4856.8586402834935
5065.6377,4978.571103875468
4268.961,4156.039336802975
3844.4187,3563.2700684901165
4766.6953,4613.434293468965
4176.9893,3883.1603824712474
4102.642,3912.6149899884467
1473.7611,1456.2352537406052
4206.3315,4034.327163395711
4284.7866,4004.872846063223
3224.4045,3123.004875340637
3381.0774,3354.412126226318
1760.728,1734.1059993863548
1679.7452,1757.1102813138216
2954.2683,2915.0567059049495
4675.305,4764.600784208717
3809.1907,3820.35707125554
2338.5566,2567.2633995763754
4371.694,4126.585019470486
2884.5242,3100.4554508633837
2413.8792,2544.713990626359
2526.4011,2683.6493970915835
