threshold_source,zone,assigned_opening_mm,threshold_low_mid,threshold_mid_high,zone_mass_min,zone_mass_max,zone_center,zone_width,opening_mass_min,opening_mass_max,overlap_length,coverage_ratio,reference_speed_mass,reference_gap_to_zone_center
current_policy_thresholds,low,20.0,3325.246337890625,5305.74169921875,1144.270263671875,3325.246337890625,2445.947159563912,2180.97607421875,1144.270263671875,3452.63037109375,2180.97607421875,0.9999999999999996,2295.884616758765,150.06254280514713
current_policy_thresholds,mid,35.0,3325.246337890625,5305.74169921875,3325.246337890625,5305.74169921875,4198.336430387677,1980.495361328125,1955.810546875,5827.92431640625,1980.495361328125,0.9999999999999996,3891.760441477705,306.5759889099718
current_policy_thresholds,high,50.0,3325.246337890625,5305.74169921875,5305.74169921875,8234.0224609375,6397.730601165254,2928.28076171875,2799.788330078125,8234.0224609375,2928.28076171875,0.9999999999999997,5541.412770341082,856.3178308241713
