Task,Model,DisplayName,ArchitectureNote,R2_main,ARE_main(%),n_main,main_ratio,R2_all,ARE_all(%),n_all,Hyperparams
inverse,inverse_MLP,inverse_MLP,,0.9875302472050789,1.3680792488206655,13,0.29545454545454547,0.9963590522895566,1.475576786990247,44,"hidden=(50,), alpha=1e-05"
inverse,inverse_GRNN,inverse_GRNN,,0.8764284951518009,4.951902325037614,13,0.29545454545454547,0.9119999406778517,7.579468515316122,44,sigma=0.1
inverse,inverse_KAN,inverse_KAN,repaired spline/grid KAN,0.9999062217482279,0.1402442613702482,13,0.29545454545454547,0.9999462665526935,0.15203361841945331,44,"hidden=32, lr=0.01, wd=1e-05"
