Task,Model,DisplayName,ArchitectureNote,Primary_R2,Primary_ARE(%),n_main,main_ratio,Supplement_R2,Supplement_ARE(%)
forward,MLP,MLP,,0.9991301302971785,0.9083392526682321,,,,
forward,GRNN,GRNN,,0.9944334282036346,2.792923563890828,,,,
forward,KAN,KAN,forward spline/grid KAN,0.9999446868896484,0.25886866450309753,,,,
inverse,inverse_MLP,inverse_MLP,,0.9991976183149547,0.38159465962369227,13.0,0.29545454545454547,0.9991596944884632,0.7220457365840477
inverse,inverse_GRNN,inverse_GRNN,,0.8764284951518009,4.951902325037614,13.0,0.29545454545454547,0.9119999406778517,7.579468515316122
inverse,inverse_KAN_repaired,inverse_KAN (repaired spline KAN),repaired to match forward spline/grid KAN family,0.9999065831274868,0.13997527291470246,13.0,0.29545454545454547,0.9999463431319655,0.15258128159718146
