true,MLP_pred
1664.0759,1641.6340142262968
4031.8428,4281.646394511491
3994.0007,3639.735745472025
3507.9988,3459.1147197612518
5624.7373,5528.223626431574
5868.4106,5803.243795539536
2929.6528,2799.125581367213
3666.755,3609.733572607219
3935.89,3669.190352989224
3044.704,3308.8584777493047
3493.7063,3238.9359667671965
2890.384,3076.541396107823
3888.157,3518.0235720647593
5550.1455,5628.481701123492
1426.1854,1363.7632841077846
4751.7534,4676.23754202658
6359.73,6302.787696923335
3894.7515,4159.934148558048
1700.0353,1664.6383168567463
5975.8765,6019.765090831422
6483.2754,6433.215700802079
2458.805,2428.7828660886225
4967.5664,4856.858640283529
5065.6377,4978.571103875507
4268.961,4156.039336802998
3844.4187,3563.270068490137
4766.6953,4613.434293468998
4176.9893,3883.1603824712683
4102.642,3912.6149899884667
1473.7611,1456.2352537406243
4206.3315,4034.327163395733
4284.7866,4004.872846063245
3224.4045,3123.004875340656
3381.0774,3354.412126226335
1760.728,1734.1059993863746
1679.7452,1757.1102813138402
2954.2683,2915.056705904971
4675.305,4764.60078420875
3809.1907,3820.3570712555556
2338.5566,2567.2633995763936
4371.694,4126.585019470512
2884.5242,3100.455450863405
2413.8792,2544.713990626381
2526.4011,2683.649397091605
