Task,Model,DisplayName,ArchitectureNote,R2_main,ARE_main(%),n_main,main_ratio,R2_all,ARE_all(%),n_all,OpeningDist_all,OpeningDist_main,Hyperparams
inverse,inverse_MLP,inverse_MLP,,0.9991976183149547,0.38159465962369227,13,0.29545454545454547,0.9991596944884632,0.7220457365840477,44,"{'20mm': 6, '35mm': 9, '50mm': 4, 'other': 25}","{'20mm': 4, '35mm': 7, '50mm': 2, 'other': 0}","hidden=(50,), alpha=0.0001"
inverse,inverse_GRNN,inverse_GRNN,,0.8764284951518009,4.951902325037614,13,0.29545454545454547,0.9119999406778517,7.579468515316122,44,"{'20mm': 6, '35mm': 9, '50mm': 4, 'other': 25}","{'20mm': 4, '35mm': 7, '50mm': 2, 'other': 0}",sigma=0.1
inverse,inverse_KAN_repaired,inverse_KAN (repaired spline KAN),repaired to match forward spline/grid KAN family,0.9999065831274868,0.13997527291470246,13,0.29545454545454547,0.9999463431319655,0.15258128159718146,44,"{'20mm': 6, '35mm': 9, '50mm': 4, 'other': 25}","{'20mm': 4, '35mm': 7, '50mm': 2, 'other': 0}","hidden=32, lr=0.01, wd=1e-05"
